UUID,Figure,Organ,Sample ID,Condition,Brain Region,Brain Hemisphere,Width (px),Height (px),Depth (px),XY Pixel Size (µm),Z Pixel Size (µm),File Path,File Name,File Size,Thumbnail
72a44acb-4c01-433f-a8b3-72d3bc8de10c,Figure 3,Brain,592,Obese,Striatum,L,500,500,501,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/72a44acb-4c01-433f-a8b3-72d3bc8de10c.ome.zarr,72a44acb-4c01-433f-a8b3-72d3bc8de10c.ome.zarr,211593196,https://lsfm.isas.de/files/vessel-express/thumbnails/72a44acb-4c01-433f-a8b3-72d3bc8de10c.jpg
a27bdda9-eca6-47e0-ab49-73db06701fb1,Figure 3,Brain,592,Obese,Cortex,L,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/a27bdda9-eca6-47e0-ab49-73db06701fb1.ome.zarr,a27bdda9-eca6-47e0-ab49-73db06701fb1.ome.zarr,48764794,https://lsfm.isas.de/files/vessel-express/thumbnails/a27bdda9-eca6-47e0-ab49-73db06701fb1.jpg
fdb9ea30-6c51-4f8c-8cb2-4ab27d164a3d,Figure 3,Brain,592,Obese,Hippocampus,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/fdb9ea30-6c51-4f8c-8cb2-4ab27d164a3d.ome.zarr,fdb9ea30-6c51-4f8c-8cb2-4ab27d164a3d.ome.zarr,44218070,https://lsfm.isas.de/files/vessel-express/thumbnails/fdb9ea30-6c51-4f8c-8cb2-4ab27d164a3d.jpg
7fa4f433-719b-4c37-92b2-723a4ab92914,Figure 3,Brain,592,Obese,Midbrain,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/7fa4f433-719b-4c37-92b2-723a4ab92914.ome.zarr,7fa4f433-719b-4c37-92b2-723a4ab92914.ome.zarr,41532592,https://lsfm.isas.de/files/vessel-express/thumbnails/7fa4f433-719b-4c37-92b2-723a4ab92914.jpg
50924596-763d-4fdc-832b-180b626abd6f,Figure 3,Brain,592,Obese,Striatum,R,500,500,501,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/50924596-763d-4fdc-832b-180b626abd6f.ome.zarr,50924596-763d-4fdc-832b-180b626abd6f.ome.zarr,201877962,https://lsfm.isas.de/files/vessel-express/thumbnails/50924596-763d-4fdc-832b-180b626abd6f.jpg
cec2aea9-5624-4445-8376-fe6af97c874f,Figure 3,Brain,592,Obese,Cortex,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/cec2aea9-5624-4445-8376-fe6af97c874f.ome.zarr,cec2aea9-5624-4445-8376-fe6af97c874f.ome.zarr,46040467,https://lsfm.isas.de/files/vessel-express/thumbnails/cec2aea9-5624-4445-8376-fe6af97c874f.jpg
9f620f99-7cc5-4a40-bf6d-6217c86efeb3,Figure 3,Brain,593,Obese,Hippocampus,L,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/9f620f99-7cc5-4a40-bf6d-6217c86efeb3.ome.zarr,9f620f99-7cc5-4a40-bf6d-6217c86efeb3.ome.zarr,45242782,https://lsfm.isas.de/files/vessel-express/thumbnails/9f620f99-7cc5-4a40-bf6d-6217c86efeb3.jpg
14431961-3ef1-4380-a0a0-c5bc0c11b91b,Figure 3,Brain,593,Obese,Midbrain,L,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/14431961-3ef1-4380-a0a0-c5bc0c11b91b.ome.zarr,14431961-3ef1-4380-a0a0-c5bc0c11b91b.ome.zarr,40869772,https://lsfm.isas.de/files/vessel-express/thumbnails/14431961-3ef1-4380-a0a0-c5bc0c11b91b.jpg
ce1c5c2b-88f0-472e-b7b6-04496acca5df,Figure 3,Brain,593,Obese,Striatum,L,500,500,501,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/ce1c5c2b-88f0-472e-b7b6-04496acca5df.ome.zarr,ce1c5c2b-88f0-472e-b7b6-04496acca5df.ome.zarr,210573212,https://lsfm.isas.de/files/vessel-express/thumbnails/ce1c5c2b-88f0-472e-b7b6-04496acca5df.jpg
c79d36cb-19b7-4f5a-b05c-694e0070e08c,Figure 3,Brain,593,Obese,Cortex,L,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/c79d36cb-19b7-4f5a-b05c-694e0070e08c.ome.zarr,c79d36cb-19b7-4f5a-b05c-694e0070e08c.ome.zarr,47714784,https://lsfm.isas.de/files/vessel-express/thumbnails/c79d36cb-19b7-4f5a-b05c-694e0070e08c.jpg
ec119bcc-bcf7-47f2-a5e5-519439b0924b,Figure 3,Brain,593,Obese,Hippocampus,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/ec119bcc-bcf7-47f2-a5e5-519439b0924b.ome.zarr,ec119bcc-bcf7-47f2-a5e5-519439b0924b.ome.zarr,41289798,https://lsfm.isas.de/files/vessel-express/thumbnails/ec119bcc-bcf7-47f2-a5e5-519439b0924b.jpg
55e61cab-e8c0-42ef-a87d-5bc08344dca9,Figure 3,Brain,593,Obese,Striatum,R,500,500,501,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/55e61cab-e8c0-42ef-a87d-5bc08344dca9.ome.zarr,55e61cab-e8c0-42ef-a87d-5bc08344dca9.ome.zarr,205869922,https://lsfm.isas.de/files/vessel-express/thumbnails/55e61cab-e8c0-42ef-a87d-5bc08344dca9.jpg
28ce67d9-8fed-49d8-a0cc-5079b88fa23d,Figure 3,Brain,593,Obese,Cortex,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/28ce67d9-8fed-49d8-a0cc-5079b88fa23d.ome.zarr,28ce67d9-8fed-49d8-a0cc-5079b88fa23d.ome.zarr,46255314,https://lsfm.isas.de/files/vessel-express/thumbnails/28ce67d9-8fed-49d8-a0cc-5079b88fa23d.jpg
fb4841ea-7c90-4f52-a4e1-7e97c19b6ff2,Figure 3,Brain,593,Obese,Midbrain,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/fb4841ea-7c90-4f52-a4e1-7e97c19b6ff2.ome.zarr,fb4841ea-7c90-4f52-a4e1-7e97c19b6ff2.ome.zarr,41754783,https://lsfm.isas.de/files/vessel-express/thumbnails/fb4841ea-7c90-4f52-a4e1-7e97c19b6ff2.jpg
7b1042ac-7cf6-460e-a8e7-6f150213d082,Figure 3,Brain,597,Obese,Midbrain,L,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/7b1042ac-7cf6-460e-a8e7-6f150213d082.ome.zarr,7b1042ac-7cf6-460e-a8e7-6f150213d082.ome.zarr,50546538,https://lsfm.isas.de/files/vessel-express/thumbnails/7b1042ac-7cf6-460e-a8e7-6f150213d082.jpg
5e650e5e-db14-4cde-8762-2f50faa1205b,Figure 3,Brain,597,Obese,Striatum,L,500,500,501,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/5e650e5e-db14-4cde-8762-2f50faa1205b.ome.zarr,5e650e5e-db14-4cde-8762-2f50faa1205b.ome.zarr,212516022,https://lsfm.isas.de/files/vessel-express/thumbnails/5e650e5e-db14-4cde-8762-2f50faa1205b.jpg
8a20f9bc-1e24-45fa-aa33-ec7aef5e5fcc,Figure 3,Brain,597,Obese,Midbrain,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/8a20f9bc-1e24-45fa-aa33-ec7aef5e5fcc.ome.zarr,8a20f9bc-1e24-45fa-aa33-ec7aef5e5fcc.ome.zarr,40983054,https://lsfm.isas.de/files/vessel-express/thumbnails/8a20f9bc-1e24-45fa-aa33-ec7aef5e5fcc.jpg
fc464a1b-e81b-45c5-b05e-c5aedbf1bcba,Figure 3,Brain,597,Obese,Hippocampus,R,300,300,201,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/fc464a1b-e81b-45c5-b05e-c5aedbf1bcba.ome.zarr,fc464a1b-e81b-45c5-b05e-c5aedbf1bcba.ome.zarr,28915183,https://lsfm.isas.de/files/vessel-express/thumbnails/fc464a1b-e81b-45c5-b05e-c5aedbf1bcba.jpg
d03ec31c-00e1-409d-a39e-73ff0f5c8349,Figure 3,Brain,597,Obese,Cortex,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/d03ec31c-00e1-409d-a39e-73ff0f5c8349.ome.zarr,d03ec31c-00e1-409d-a39e-73ff0f5c8349.ome.zarr,44151944,https://lsfm.isas.de/files/vessel-express/thumbnails/d03ec31c-00e1-409d-a39e-73ff0f5c8349.jpg
